est,se,outcome,brate,ub,lb,ub_unadj,lb_unadj,smokePM_bin
0.035809116583151945,0.00896235269145516,Respiratory - Asthma,1.17,0.05819443396421397,0.01342379920208993,0.059144523649040985,0.024648809155534544,0-5
0.02865135727322481,0.020252981424207825,Respiratory - Asthma,1.17,0.0792373398496408,-0.021934625303191162,0.07249852025373418,-0.005454344234388155,5-10
0.27455471306,0.031037506186555677,Respiratory - Asthma,1.17,0.35207726217426805,0.19703216394573206,0.3809600351885073,0.2614979933718927,10-25
0.6361479678464687,0.06532832034847555,Respiratory - Asthma,1.17,0.7993188712150213,0.4729770644779161,0.8700160862417383,0.6185701585189982,25-50
1.1100765884216406,0.1488589282489161,Respiratory - Asthma,1.17,1.4818823484241173,0.7382708284191644,1.5852654516534956,1.0123137652531433,50+
-0.00518453820751545,0.010262434258234558,Respiratory - COPD,0.68,0.020448000020074096,-0.030817076435104982,0.007953051522375035,-0.015004023484596056,0-5
-0.037444486194722834,0.022375816346639554,Respiratory - COPD,0.68,0.018443712788724656,-0.0933326851781703,-4.34889594247867e-4,-0.05048961163057521,5-10
-0.0027262192863408215,0.033285666155954366,Respiratory - COPD,0.68,0.08041157129084907,-0.08586400986353065,0.03537620400272806,-0.0390838622321516,10-25
0.06499322293539837,0.058411256498092166,Respiratory - COPD,0.68,0.21088733805798848,-0.08090089218719171,0.10952840922793303,-0.021137626035791286,25-50
0.41560584679254164,0.11031881107051401,Respiratory - COPD,0.68,0.6911497451340288,0.14006194845105455,0.40600361744593855,0.15922033419191806,50+
-0.02080084125827308,0.012333304540840286,Circulatory - Hypertension,0.54,0.01000412101097869,-0.05160580352752483,-2.7775469806643784e-4,-0.0221871538608685,0-5
0.006985457466252823,0.025100186664310544,Circulatory - Hypertension,0.54,0.06967833110647373,-0.055707416173968044,0.02606665889062961,-0.018522364827076573,5-10
0.007860608547944811,0.03654968913252543,Circulatory - Hypertension,0.54,0.09915096718232402,-0.08342975008643436,0.03670892853202515,-0.028219471300244776,10-25
-0.07086667447602601,0.06821420250674347,Circulatory - Hypertension,0.54,0.09951231255774139,-0.24124566150979335,0.022321280120468294,-0.09885728855457643,25-50
-0.10118001316471664,0.13142034294700186,Circulatory - Hypertension,0.54,0.22706929686316146,-0.4294293231925946,0.06209309587690743,-0.17136751009480147,50+
-0.04699388353333856,0.03132474018221303,Circulatory - IHD,0.08,0.031246091504320176,-0.12523385857099725,3.62458317494963e-4,-0.007881479682829137,0-5
0.034707086972466855,0.06337772113865148,Circulatory - IHD,0.08,0.19300596801625747,-0.12359179407132369,0.011116332916423735,-0.005563199000829045,5-10
0.026073226258026667,0.09221668818685601,Circulatory - IHD,0.08,0.2564033531745158,-0.2042569006584623,0.014220494423010373,-0.010048778221726116,10-25
0.04890064154979359,0.17608032170312443,Circulatory - IHD,0.08,0.48869742500397934,-0.390896141904392,0.027082159787036778,-0.01925805713906982,25-50
